"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"2238","The Apostle",5000000,20733485,1997,12,17,"The Apostle",79,91,134,"Robert Duvall","Farrah Fawcett","Miranda Richardson","tt0118632",83,"English","Robert Duvall","Drama",7.2,10468,1,0,0,2
"2239","Halloween 4: The Return of Michael Myers",5000000,17768757,1988,10,1,"Halloween 4: The Return of Michael Myers",54,29,88,"Donald Pleasence","Ellie Cornell","Danielle Harris","tt0095271",43,"English","Dwight H. Little","Horror, Thriller",5.9,22311,0,1,0,5
"2240","Apollo 18",5000000,17686929,2011,9,2,"Apollo 18",23,24,88,"Lloyd Owen","Ryan Robbins","Warren Christie","tt1772240",24,"English","Gonzalo López-Gallego","Horror, Sci-Fi, Thriller",5.2,39082,1,0,0,4
"2241","Eve's Bayou",5000000,14843425,1997,11,7,"Eve's Bayou",90,80,109,"Jurnee Smollett","Meagan Good","Samuel L. Jackson","tt0119080",78,"English","Kasi Lemmons","Drama",7.3,6079,0,1,0,4
"2242","Spring Breakers",5000000,14124286,2013,3,15,"Spring Breakers",39,65,93,"James Franco","Selena Gomez","Vanessa Hudgens","tt2101441",63,"English","Harmony Korine","Crime, Drama",5.4,75708,0,1,0,4
"2243","Shaun of the Dead",5000000,13542874,2004,9,24,"Shaun of the Dead",93,91,100,"Simon Pegg","Kate Ashfield","Nick Frost","tt0365748",76,"English","Edgar Wright","Comedy, Horror",8,296635,0,1,0,4
"2244","Lone Star",5000000,12961389,1996,6,21,"Lone Star",85,93,134,"Chris Cooper","Elizabeth Pena","Joe Morton","tt0116905",78,"English, Spanish","John Sayles","Drama, Mystery, Romance",7.7,19600,0,1,0,4
"2245","Diner",5000000,12592907,1982,4,2,"Diner",78,96,110,"Tim Daly","Steve Guttenberg","Daniel Stern","tt0083833",86,"English","Barry Levinson","Comedy, Drama",7.2,12573,0,1,0,4
"2246","Sunshine Cleaning",5000000,12062558,2009,3,13,"Sunshine Cleaning",62,72,91,"Amy Adams","Emily Blunt","Alan Arkin","tt0862846",61,"English, Spanish","Christine Jeffs","Comedy, Drama",6.9,51836,0,1,0,4
"2247","Not Easily Broken",5000000,10572742,2009,1,9,"Not Easily Broken",68,33,100,"Morris Chestnut","Taraji P. Henson","Maeve Quinlan","tt0795438",43,"English","Bill Duke","Drama, Romance",6,1830,1,0,0,4
"2248","Digimon: The Movie",5000000,9628751,2000,10,6,"Digimon - The Movie",65,25,82,"Lara Jill Miller","Joshua Seth","Colleen O'Shaughnessy","tt0259974",20,"English","Mamoru Hosoda, Shigeyasu Yamauchi","Animation, Action, Adventure",5.7,3720,1,0,0,4
"2249","Saved!",5000000,8886160,2004,5,28,"Saved!",79,61,92,"Jena Malone","Mandy Moore","Macaulay Culkin","tt0332375",62,"English","Brian Dannelly","Comedy, Drama",6.9,36094,1,0,0,4
