"","Movie","budget","dom_gross","year","month","day","RT_title","RT_aud_score","RT_crit_score","RT_runtime","RT_cast1","RT_cast2","RT_cast3","imdb_id","Metascore","Language","Director","Genre","imdbRating","imdbVotes","mpaa_kid","mpaa_adult","Holiday","DayOfWeek"
"2324","Bowling for Columbine",3000000,21576018,2002,10,11,"Bowling for Columbine",83,96,123,"Michael Moore","Charlton Heston","Matt Stone","tt0310793",72,"English","Michael Moore","Documentary, History",8.1,105378,0,1,0,4
"2325","Super Troopers",3000000,18492362,2002,2,15,"Super Troopers",90,35,103,"Jay Chandrasekhar","Kevin Heffernan","Steve Lemme","tt0247745",48,"English, German, French","Jay Chandrasekhar","Comedy, Crime, Mystery",7.1,60376,0,1,0,4
"2326","Pokemon 3: The Movie",3000000,17052128,2001,4,6,"Pokemon 3: The Movie",51,22,73,"Veronica Taylor","Rachael Lillis","Eric Stuart","tt0266860",22,"English","Michael Haigney, Kunihiko Yuyama","Animation, Action, Adventure",5.2,6208,1,0,0,4
"2327","Dave Chappelle's Block Party",3000000,11718595,2006,3,3,"Dave Chappelle's Block Party",74,92,105,"Dave Chappelle","Kanye West","Mos Def","tt0425598",84,"English","Michel Gondry","Documentary, Comedy, Music",7.2,6974,0,1,0,4
"2328","Next Day Air",3000000,10027047,2009,5,8,"Next Day Air",31,21,84,"Donald Faison","Mike Epps","Darius McCrary","tt1097013",46,"English","Benny Boom","Action, Comedy, Crime",5.9,7348,0,1,0,4
"2329","The Deep End",3000000,8823109,2001,8,8,"The Deep End",59,82,99,"Tilda Swinton","Goran Visnjic","Jonathan Tucker","tt0250323",78,"English","Scott McGehee, David Siegel","Crime, Drama, Mystery",6.7,8564,0,1,0,2
"2330","Phat Girlz",3000000,7061128,2006,4,7,"Phat Girlz",64,23,98,"Mo'Nique","Jimmy Jean-Louis","Godfrey","tt0490196",36,"English","Nnegest Likké","Comedy",2.8,7893,1,0,0,4
"2331","Real Women Have Curves",3000000,5853194,2002,10,18,"Real Women Have Curves",75,83,93,"America Ferrera","Lupe Ontiveros","Ingrid Oliu","tt0296166",71,"English, Spanish","Patricia Cardoso","Comedy, Drama",7,5509,1,0,0,4
"2332","Gallipoli",3000000,5732587,1981,8,28,"Gallipoli",83,88,110,"Mel Gibson","Mark Lee","Harold Hopkins","tt0082432",65,"English","Peter Weir","Adventure, Drama, History",7.6,24255,1,0,0,4
"2333","Water",3000000,5529144,2006,4,28,"Water",90,91,117,"Seema Biswas","Lisa Ray","John Abraham","tt0240200",77,"Hindi, Sanskrit","Deepa Mehta","Drama, Romance",7.8,10530,1,0,0,4
"2334","Whipped",3000000,4142507,2000,9,1,"Whipped",33,13,85,"Amanda Peet","Brian Van Holt","Judah Domke","tt0174336",10,"English, Italian","Peter M. Cohen","Comedy, Romance",4.4,3519,0,1,0,4
"2335","Please Give",3000000,4033574,2010,4,30,"Please Give",64,87,90,"Catherine Keener","Oliver Platt","Amanda Peet","tt0878835",78,"English","Nicole Holofcener","Comedy, Drama",6.6,8529,0,1,0,4
"2336","8 Heads in a Duffel Bag",3000000,3602884,1997,4,18,"8 Heads in a Duffel Bag",35,11,95,"Joe Pesci","Andy Comeau","Kristy Swanson","tt0118541",15,"English, Spanish","Tom Schulman","Comedy, Crime",5.2,7095,0,1,0,4
"2337","Thirteen Conversations About One Thing",3000000,3287435,2002,5,24,"13 Conversations About One Thing",71,82,104,"Matthew McConaughey","John Turturro","Alan Arkin","tt0268690",74,"English, German, Italian","Jill Sprecher","Drama",7.1,7747,0,1,0,4
"2338","Jawbreaker",3000000,3076820,1999,2,19,"Jawbreaker",54,7,87,"Rose McGowan","Rebecca Gayheart","Julie Benz","tt0155776",22,"English","Darren Stein","Comedy, Crime, Thriller",5.3,14455,0,1,0,4
"2339","Tsotsi",3000000,2912606,2006,2,24,"Tsotsi (Thug)",86,82,91,"Presley Chweneyagae","Terry Pheto","Kenneth Nkosi","tt0468565",70,"Zulu, Xhosa, Afrikaans, English","Gavin Hood","Crime, Drama",7.3,21987,0,1,0,4
"2340","Letters to God",3000000,2848587,2010,4,9,"Letters To God",74,25,110,"Tanner Maguire","Jeffrey S.S. Johnson","Robyn Lively","tt1462054",31,"English","David Nixon, Patrick Doughtie","Drama, Family",6,2932,1,0,0,4
"2341","Happiness",3000000,2746453,1998,10,16,"Happiness",89,85,80,"Jane Adams (II)","Dylan Baker","Lara Flynn Boyle","tt0147612",81,"English, Russian","Todd Solondz","Comedy, Drama",7.8,46096,0,1,0,4
"2342","Central do Brasil",2900000,5969553,1998,11,20,"Central Station (Central do Brasil)",94,94,110,"Fernanda Montenegro","Marilia Pera","Vinicius de Oliveira","tt0140888",80,"Portuguese, German","Walter Salles","Drama",8,24920,0,1,0,4
"2343","High Tension",2850000,3681066,2005,6,10,"High Tension (Switchblade Romance)",67,41,85,"Cecile De France","Maiwenn Le Besco","Philippe Nahon","tt0338095",42,"French, English, Italian","Alexandre Aja","Horror",6.9,44487,0,1,0,4
"2344","Hustle & Flow",2800000,22202809,2005,7,22,"Hustle & Flow",82,82,116,"Terrence Howard","Anthony Anderson","Taryn Manning","tt0410097",68,"English","Craig Brewer","Crime, Drama, Music",7.4,28624,0,1,0,4
"2345","Ulee's Gold",2700000,9054736,1997,6,13,"Ulee's Gold",75,94,111,"Peter Fonda","Patricia Richardson","Jessica Biel","tt0120402",77,"English","Victor Nunez","Drama",7.1,5162,0,1,0,4
"2346","Riding Giants",2600000,2276368,2004,7,9,"Riding Giants",94,93,105,"Sean Penn","Sam George","Dick Brewer","tt0389326",80,"English","Stacy Peralta","Documentary, History, Sport",7.9,3251,1,0,0,4
"2347","A Haunted House",2500000,40041683,2013,1,11,"A Haunted House",53,10,86,"Marlon Wayans","Essence Atkins","Cedric the Entertainer","tt2243537",20,"English, Spanish","Michael Tiddes","Comedy, Horror",5,22024,0,1,0,4
"2348","Garden State",2500000,26782316,2004,7,28,"Garden State",88,86,102,"Zach Braff","Natalie Portman","Peter Sarsgaard","tt0333766",67,"English","Zach Braff","Comedy, Drama, Romance",7.7,163611,0,1,0,2
"2349","That Thing You Do!",2500000,25857416,1996,10,4,"That Thing You Do!",78,93,110,"Tom Everett Scott","Liv Tyler","Johnathon Schaech","tt0117887",71,"English","Tom Hanks","Comedy, Drama, Music",6.8,41841,1,0,0,4
"2350","Halloween II",2500000,25533818,1981,10,30,"Halloween II",64,29,93,"Jamie Lee Curtis","Donald Pleasence","Charles Cyphers","tt0082495",44,"English","Rick Rosenthal","Horror, Thriller",6.5,38142,0,1,0,4
"2351","My Own Private Idaho",2500000,6401336,1991,9,29,"My Own Private Idaho",81,86,105,"River Phoenix","Keanu Reeves","James Russo","tt0102494",77,"English, Italian","Gus Van Sant","Drama, Romance",7.1,29584,0,1,0,6
"2352","Before Sunrise",2500000,5274005,1995,1,27,"Before Sunrise",93,100,101,"Ethan Hawke","Julie Delpy","Albert Delpy","tt0112471",77,"English, German, French","Richard Linklater","Drama, Romance",8.1,113867,0,1,0,4
"2353","Jesus' Son",2500000,1282084,2000,6,16,"Jesus' Son",83,81,107,"Billy Crudup","Samantha Morton","Denis Leary","tt0186253",76,"English","Alison Maclean","Drama",7,5771,0,1,0,4
"2354","Thr3e",2400000,1008849,2007,1,5,"THR3E",51,5,105,"Marc Blucas","Laura Jordan","Justine Waddell","tt0486028",34,"English","Robby Henson","Drama, Horror, Mystery",5,3773,1,0,0,4
"2355","Courageous",2000000,34522221,2011,9,30,"Courageous",87,30,129,"Alex Kendrick","Renee Jewell","Rusty Martin, Jr.","tt1630036",42,"English","Alex Kendrick","Drama",6.9,10629,1,0,0,4
"2356","Nancy Drew",2000000,25584685,2007,6,15,"Nancy Drew",59,50,98,"Emma Roberts","Josh Flitter","Rachael Leigh Cook","tt0479500",53,"English","Andrew Fleming","Comedy, Crime, Family",5.9,12644,1,0,0,4
"2357","Boys Don't Cry",2000000,11540607,1999,10,8,"Boys Don't Cry",87,88,116,"Hilary Swank","Chloe Sevigny","Peter Sarsgaard","tt0171804",86,"English","Kimberly Peirce","Biography, Drama",7.6,63200,0,1,0,4
"2358","Machete Kills",2000000,8008161,2013,10,11,"Machete Kills",39,29,108,"Danny Trejo","Michelle Rodriguez","Sofia Vergara","tt2002718",41,"English, Spanish","Robert Rodriguez","Action, Comedy, Crime",5.8,26507,0,1,0,4
"2359","Smoke Signals",2000000,6719300,1998,6,26,"Smoke Signals",82,86,88,"Adam Beach","Evan Adams","Irene Bedard","tt0120321",76,"English","Chris Eyre","Comedy, Drama",7.2,7180,1,0,0,4
"2360","Winter's Bone",2000000,6531503,2010,6,11,"Winter's Bone",76,94,99,"Jennifer Lawrence","John Hawkes","Kevin Breznahan","tt1399683",90,"English","Debra Granik","Drama",7.2,86597,0,1,0,4
"2361","American Splendor",2000000,6003587,2003,8,15,"American Splendor",87,94,100,"Paul Giamatti","Hope Davis","Harvey Pekar","tt0305206",90,"English","Shari Springer Berman, Robert Pulcini","Biography, Comedy, Drama",7.6,36963,0,1,0,4
"2362","Before Sunset",2000000,5792822,2004,7,2,"Before Sunset",92,95,80,"Ethan Hawke","Julie Delpy","Vernon Dobtcheff","tt0381681",90,"English, French","Richard Linklater","Drama, Romance",8.1,111354,0,1,1,4
"2363","Amores Perros",2000000,5383834,2001,3,30,"Amores Perros",94,92,153,"Emilio Echeverria","Gael Garcia Bernal","Goya Toledo","tt0245712",83,"Spanish","Alejandro González Iñárritu","Drama, Thriller",8.2,129141,0,1,0,4
"2364","Thirteen",2000000,4601043,2003,8,20,"Thirteen",77,81,100,"Holly Hunter","Evan Rachel Wood","Nikki Reed","tt0328538",70,"English, Spanish, Portuguese","Catherine Hardwicke","Biography, Drama",6.9,55530,0,1,0,2
"2365","Touching the Void",2000000,4593598,2004,1,23,"Touching the Void",92,93,106,"Brendan Mackey","Nicholas Aaron","Joe Simpson","tt0379557",82,"English","Kevin Macdonald","Documentary, Adventure, Drama",8.1,20101,0,1,0,4
"2366","Inside Job",2000000,4311834,2010,10,8,"Inside Job",91,98,108,"Matt Damon","William Ackman","Daniel Alpert","tt1645089",88,"English","Charles Ferguson","Documentary, Crime",8.3,41267,1,0,0,4
"2367","Me and You and Everyone We Know",2000000,3885134,2005,6,17,"Me and You and Everyone We Know",85,81,90,"John Hawkes","Miranda July","Miles Thompson","tt0415978",76,"English","Miranda July","Comedy, Drama",7.4,27617,0,1,0,4
"2368","Harsh Times",2000000,3337931,2006,11,10,"Harsh Times",56,48,115,"Christian Bale","Freddy Rodriguez","Eva Longoria","tt0433387",56,"English, Spanish, Korean","David Ayer","Action, Crime, Drama",7,44096,0,1,1,4
"2369","Ghost Dog: Way of the Samurai",2000000,3330230,2000,3,3,"Ghost Dog - The Way of the Samurai",86,82,116,"Forest Whitaker","John Tormey","Cliff Gorman","tt0165798",67,"English, French","Jim Jarmusch","Action, Crime, Drama",7.6,58217,0,1,0,4
"2370","Full Frontal",2000000,2512846,2002,8,2,"Full Frontal",28,38,101,"David Duchovny","Nicky Katt","Catherine Keener","tt0290212",45,"English","Steven Soderbergh","Comedy, Romance",4.8,8081,0,1,0,4
"2371","Waltz with Bashir",2000000,2283849,2008,12,25,"Waltz with Bashir",90,96,90,"Ari Folman","Ori Sivan","Roni Dayag","tt1185616",91,"Hebrew, Arabic, German, English","Ari Folman","Documentary, Animation, Biography",8,37271,0,1,1,3
"2372","Strangers with Candy",2000000,2072645,2006,6,28,"Strangers with Candy",56,52,97,"Amy Sedaris","Deborah Rush","Carlo Alban","tt0369994",57,"English","Paul Dinello","Comedy",6,6267,0,1,0,2
"2373","Shortbus",2000000,1985292,2006,10,4,"Shortbus",78,66,101,"Sook-Yin Lee","Paul Dawson","Lindsay Beamish","tt0367027",64,"English","John Cameron Mitchell","Comedy, Drama, Romance",6.6,23383,0,1,0,2
"2374","Hamlet",2000000,1577287,2000,5,12,"Hamlet",0,71,178,"Campbell Scott","Blair Brown","Jamey Sheridan","tt0243951",67,"English","Campbell Scott, Eric Simonson","Drama",6.1,195,0,1,0,4
"2375","No End In Sight",2000000,1433319,2007,7,27,"No End in Sight",94,95,102,"Campbell Scott","Richard Armitage","James Fallows","tt0912593",89,"English, Arabic","Charles Ferguson","Documentary, War",8.3,6472,0,1,0,4
"2376","In the Shadow of the Moon",2000000,1134358,2007,9,7,"In the Shadow of the Moon",91,94,96,"Charlie Duke","Capt. James Lovell","Ron Howard","tt0925248",84,"English, French, Japanese","David Sington","Documentary, History",8.1,4586,1,0,0,4
"2377","Man on Wire",1900000,2962242,2008,7,25,"Man on Wire",87,100,94,"Philippe Petit","Jean-Louis Blondeau","Annie Allix","tt1155592",89,"English, French","James Marsh","Documentary, Biography",8,26409,1,0,0,4
"2378","Nowhere Boy",1900000,1445366,2010,10,8,"Nowhere Boy",74,79,98,"Aaron Taylor-Johnson","Kristin Scott Thomas","Thomas Sangster","tt1266029",67,"English","Sam Taylor-Johnson","Biography, Drama, Music",7.2,22206,0,1,0,4
"2379","Northfork",1900000,1420578,2003,7,11,"Northfork",67,56,103,"James Woods","Nick Nolte","Claire Forlani","tt0322659",64,"English","Michael Polish","Drama, Fantasy",6.4,4638,1,0,0,4
"2380","The Last Exorcism",1800000,41034350,2010,8,27,"The Last Exorcism",34,72,87,"Patrick Fabian","Ashley Bell","Iris Bahr","tt1320244",63,"English","Daniel Stamm","Drama, Horror, Thriller",5.6,33522,1,0,0,4
"2381","A Nightmare on Elm Street",1800000,25504513,1984,11,9,"A Nightmare on Elm Street",83,96,91,"John Saxon","Ronee Blakely","Heather Langenkamp","tt0087800",78,"English","Wes Craven","Horror",7.5,107536,0,1,1,4
"2382","Beasts of the Southern Wild",1800000,12795746,2012,6,27,"Beasts of the Southern Wild",76,86,91,"Quvenzhane Wallis","Dwight Henry","Lowell Landes","tt2125435",86,"English","Benh Zeitlin","Drama, Fantasy",7.3,54546,1,0,0,2
"2383","Songcatcher",1800000,3050934,2001,6,15,"Songcatcher",78,74,112,"Janet McTeer","Aidan Quinn","Pat Carroll","tt0210299",63,"English","Maggie Greenwald","Drama, Music",7.2,2586,1,0,1,4
"2384","Run Lola Run",1750000,7267324,1999,6,18,"Run Lola Run (Lola rennt)",90,93,81,"Franka Potente","Moritz Bleibtreu","Herbert Knaup","tt0130827",77,"German, English, Japanese","Tom Tykwer","Action, Crime, Thriller",7.8,137806,0,1,0,4
"2385","In the Bedroom",1700000,35930604,2001,11,23,"In the Bedroom",81,93,131,"Sissy Spacek","Tom Wilkinson","Nick Stahl","tt0247425",86,"English, Serbo-Croatian","Todd Field","Crime, Drama",7.5,28679,0,1,1,4
"2386","Happy, Texas",1700000,2039192,1999,10,1,"Happy, Texas",55,81,104,"Jeremy Northam","Steve Zahn","William H. Macy","tt0162360",62,"English","Mark Illsley","Comedy, Crime, Romance",6.3,8115,1,0,0,4
"2387","My Summer of Love",1700000,1000915,2005,6,17,"My Summer of Love",70,90,87,"Natalie Press","Emily Blunt","Paddy Considine","tt0382189",82,"English","Pawel Pawlikowski","Drama, Romance",6.8,13398,0,1,0,4
"2388","Insidious",1500000,54009150,2011,4,1,"Insidious",61,66,102,"Patrick Wilson","Rose Byrne","Lin Shaye","tt1591095",52,"English","James Wan","Horror, Thriller",6.8,121132,1,0,0,4
"2389","Cabin Fever",1500000,21158188,2003,9,12,"Cabin Fever",44,63,92,"Jordan Ladd","James DeBello","Rider Strong","tt0303816",56,"English","Eli Roth","Horror",5.6,51070,0,1,0,4
"2390","Waitress",1500000,19097550,2007,5,2,"Waitress",74,89,107,"Keri Russell","Nathan Fillion","Cheryl Hines","tt0473308",75,"English","Adrienne Shelly","Comedy, Drama, Romance",7.1,32234,1,0,0,2
"2391","The Squid and the Whale",1500000,7372734,2005,10,5,"The Squid and the Whale",81,93,81,"Jeff Daniels","Laura Linney","Jesse Eisenberg","tt0367089",82,"English","Noah Baumbach","Comedy, Drama",7.4,49939,0,1,0,2
"2392","Kissing Jessica Stein",1500000,7025722,2002,3,13,"Kissing Jessica Stein",65,84,94,"Jennifer Westfeldt","Heather Juergensen","Scott Cohen","tt0264761",72,"English","Charles Herman-Wurmfeld","Comedy, Drama, Romance",6.7,12184,0,1,0,2
"2393","The To Do List",1500000,3491669,2013,7,26,"The To Do List",48,52,104,"Aubrey Plaza","Johnny Simmons","Bill Hader","tt1758795",61,"English","Maggie Carey","Comedy",5.8,13312,0,1,0,4
"2394","The Gatekeepers",1500000,2408553,2013,2,1,"The Gatekeepers",79,93,101,"Ami Ayalon","Avi Dichter","Yuval Diskin","tt2309788",91,"English, Hebrew","Dror Moreh","Documentary",7.6,2911,1,0,0,4
"2395","Buffalo '66",1500000,2380606,1998,6,26,"Buffalo 66",88,78,110,"Vincent Gallo","Christina Ricci","Ben Gazzara","tt0118789",68,"English","Vincent Gallo","Comedy, Crime, Drama",7.5,30203,0,1,0,4
"2396","Repo Man",1500000,2300000,1984,3,2,"Repo Man",79,98,93,"Harry Dean Stanton","Emilio Estevez","Olivia Barash","tt0087995",75,"English, Spanish","Alex Cox","Comedy, Crime, Sci-Fi",6.9,20285,0,1,0,4
"2397","Blood Simple",1500000,1690913,1985,1,18,"Blood Simple",89,94,97,"John Getz","Frances McDormand","Dan Hedaya","tt0086979",81,"English","Joel Coen, Ethan Coen","Crime, Thriller",7.7,53912,0,1,0,4
"2398","Nueve Reinas",1500000,1222889,2002,4,19,"Nine Queens (Nueve reinas)",94,92,115,"Ricardo Darin","Gaston Pauls","Leticia Bredice","tt0247586",80,"Spanish","Fabián Bielinsky","Crime, Drama, Thriller",7.9,27161,0,1,0,4
"2399","Lock, Stock and Two Smoking Barrels",1350000,3897569,1999,3,5,"Lock, Stock and Two Smoking Barrels",93,76,105,"Jason Flemyng","Dexter Fletcher","Nick Moran","tt0120735",66,"English","Guy Ritchie","Comedy, Crime",8.2,299414,0,1,0,4
"2400","Saw",1200000,55185045,2004,10,29,"Saw II",59,36,92,"Donnie Wahlberg","Tobin Bell","Shawnee Smith","tt0432348",40,"English","Darren Lynn Bousman","Horror",6.6,147770,0,1,0,4
"2401","Monsoon Wedding",1200000,13876974,2002,2,22,"Monsoon Wedding",87,95,114,"Naseeruddin Shah","Lillete Dubey","Shefali Shetty","tt0265343",77,"Hindi, English","Mira Nair","Comedy, Drama, Romance",7.4,16750,0,1,0,4
"2402","You Can Count on Me",1200000,9180275,2000,11,10,"You Can Count On Me",89,95,109,"Laura Linney","Mark Ruffalo","Rory Culkin","tt0203230",85,"English","Kenneth Lonergan","Drama",7.8,19177,0,1,1,4
"2403","Reservoir Dogs",1200000,2832029,1992,10,23,"Reservoir Dogs",94,92,98,"Harvey Keitel","Tim Roth","Michael Madsen","tt0105236",78,"English","Quentin Tarantino","Crime, Thriller",8.4,448818,0,1,0,4
"2404","But I'm a Cheerleader",1200000,2205627,2000,7,7,"But I'm A Cheerleader",75,34,81,"Natasha Lyonne","Cathy Moriarty","Bud Cort","tt0179116",39,"English","Jamie Babbit","Comedy, Drama, Romance",6.5,16110,0,1,0,4
"2405","Waiting...",1125000,16124543,2005,10,7,"Waiting",75,31,94,"Areen Omari","Mohmaud Massad","Yousset Baroud","tt0348333",30,"English, German","Rob McKittrick","Comedy",6.8,65838,0,1,0,4
"2406","Wolf Creek",1100000,16186348,2005,12,25,"Wolf Creek",49,53,98,"John Jarratt","Nathan Phillips","Cassandra Magrath","tt0416315",54,"English, Swedish","Greg Mclean","Horror",6.3,43560,0,1,1,6
"2407","The Devil Inside",1000000,53261944,2012,1,6,"The Devil Inside",22,6,83,"Fernanda Andrade","Simon Quarterman","Evan Helmuth","tt1560985",18,"English","William Brent Bell","Horror",4.1,25584,0,1,0,4
"2408","Cry Wolf",1000000,10047674,2005,9,16,"Cry Wolf",52,23,91,"Lindy Booth","Julian Morris","Jared Padalecki","tt0384286",39,"English","Jeff Wadlow","Drama, Horror, Mystery",5.9,19877,1,0,0,4
"2409","Blue Valentine",1000000,9737892,2010,12,29,"Blue Valentine",77,87,114,"Ryan Gosling","Michelle Williams","Faith Wladyka","tt1120985",81,"English","Derek Cianfrance","Drama, Romance",7.4,106248,0,1,0,2
"2410","Transamerica",1000000,9015303,2005,12,2,"Transamerica",83,76,103,"Felicity Huffman","Kevin Zegers","Fionnula Flanagan","tt0407265",66,"English, Spanish","Duncan Tucker","Adventure, Comedy, Drama",7.5,31751,0,1,0,4
"2411","October Baby",1000000,5355847,2012,3,23,"October Baby",81,22,108,"Rachel Hendrix","Jason Burkey","John Schneider","tt1720182",32,"English","Andrew Erwin, Jon Erwin","Drama",6.7,4360,1,0,0,4
"2412","Next Stop, Wonderland",1000000,3395581,1998,8,21,"Next Stop Wonderland",75,74,95,"Hope Davis","Alan Gelfant","Victor Argo","tt0119778",71,"English","Brad Anderson","Comedy, Drama, Romance",6.7,3731,0,1,0,4
"2413","Martha Marcy May Marlene",1000000,2981038,2011,10,21,"Martha Marcy May Marlene",71,90,102,"Elizabeth Olsen","Christopher Abbott","Brady Corbet","tt1441326",76,"English","Sean Durkin","Drama, Thriller",7,30888,0,1,0,4
"2414","Junebug",1000000,2678010,2005,8,3,"Junebug",74,86,106,"Amy Adams","Embeth Davidtz","Benjamin McKenzie","tt0418773",80,"English","Phil Morrison","Comedy, Drama",7.1,16786,0,1,0,2
"2415","Frozen River",1000000,2511476,2008,8,1,"Frozen River",74,87,97,"Melissa Leo","Misty Upham","Charlie McDermott","tt0978759",82,"English, French, Chinese, Urdu","Courtney Hunt","Crime, Drama",7.2,18907,0,1,0,4
"2416","Two Girls and a Guy",1000000,2057193,1998,4,24,"Two Girls and a Guy",43,52,84,"Robert Downey Jr.","Heather Graham","Natasha Gregson Wagner","tt0124179",66,"English","James Toback","Comedy, Drama",5.6,5238,0,1,0,4
"2417","Walking and Talking",1000000,1287480,1996,7,17,"Walking and Talking",72,86,83,"Catherine Keener","Anne Heche","Todd Field","tt0118113",67,"English","Nicole Holofcener","Drama, Comedy, Romance",6.8,2307,0,1,0,2
"2418","Bubba Ho-Tep",1000000,1239183,2003,9,19,"Bubba Ho-Tep",79,79,92,"Bruce Campbell","Ossie Davis","Ella Joyce","tt0281686",57,"English, German","Don Coscarelli","Comedy, Drama, Fantasy",7.2,34385,0,1,0,4
"2419","No Man's Land",1000000,1067481,2001,12,7,"No Man's Land",93,93,98,"Branco Djuric","Rene Bitorajac","Filip Sovagovic","tt0283509",84,"Bosnian","Danis Tanovic","Drama, War",8,32554,0,1,0,4
"2420","Hard Candy",950000,1024640,2006,4,14,"Hard Candy",78,68,104,"Patrick Wilson","Ellen Page","Sandra Oh","tt0424136",58,"English","David Slade","Drama, Thriller",7.2,106801,0,1,0,4
"2421","Time Changer",825000,1500711,2002,10,25,"Time Changer",73,22,95,"D. David Morin","Gavin MacLeod","Hal Linden","tt0295725",26,"English","Rich Christiano","Drama, Sci-Fi",5.5,1454,1,0,0,4
"2422","Jodaeiye Nader az Simin",800000,7098492,2011,12,30,"A Separation",92,99,123,"Leila Hatami","Peyman Moadi","Shahab Hosseini","tt1832382",95,"Persian","Asghar Farhadi","Drama",8.5,103033,1,0,1,4
"2423","Welcome to the Dollhouse",800000,4198137,1996,5,10,"Welcome to the Dollhouse",86,90,88,"Heather Matarazzo","Daria Kalinina","Matthew Faber","tt0114906",83,"English","Todd Solondz","Comedy, Drama",7.5,22106,0,1,0,4
"2424","Raising Victor Vargas",800000,2073984,2003,3,28,"Raising Victor Vargas",84,96,88,"Victor Rasuk","Judy Marte","Melonie Diaz","tt0316188",83,"English, Spanish","Peter Sollett","Drama, Romance",7.2,4491,0,1,0,4
"2425","Saints and Soldiers",780000,1310470,2004,8,6,"Saints and Soldiers",79,65,90,"Corbin Allred","Larry Bagby III","Kirby Heyborne","tt0373283",56,"English, German","Ryan Little","Action, Adventure, Drama",6.9,15073,1,0,0,4
"2426","Aqua Teen Hunger Force: The Movie",750000,5520368,2007,4,13,"Aqua Teen Hunger Force Colon Movie Film for Theatres",68,48,86,"Dana Snyder","Dave Willis","Carey Means","tt0455326",54,"English","Matt Maiellaro, Dave Willis","Animation, Action, Adventure",7,11307,0,1,0,4
"2427","Safety Not Guaranteed",750000,4010957,2012,6,8,"Safety Not Guaranteed",81,91,86,"Aubrey Plaza","Mark Duplass","Jake M. Johnson","tt1862079",72,"English","Colin Trevorrow","Comedy, Drama, Romance",7.1,67399,0,1,1,4
"2428","Rize",700000,3278611,2005,6,24,"Rize",85,83,85,"Tommy the Clown","Lil Tommy","Larry","tt0436724",74,"English","David LaChapelle","Documentary, Music",7.1,2643,1,0,0,4
"2429","L.I.E.",700000,1140965,2001,9,7,"What Lies Beneath",59,46,130,"Harrison Ford","Michelle Pfeiffer","Diana Scarwid","tt0161081",51,"English","Robert Zemeckis","Drama, Horror, Mystery",6.6,82592,1,0,0,4
"2430","The Blair Witch Project",600000,140539099,1999,7,14,"The Blair Witch Project",55,87,87,"Heather Donahue","Michael Williams","Joshua Leonard","tt0185937",81,"English","Daniel Myrick, Eduardo Sánchez","Horror, Mystery",6.4,147444,0,1,0,2
"2431","Fireproof",500000,33456317,2008,9,26,"Fireproof",83,40,118,"Kirk Cameron","Erin Bethea","Ken Bevel","tt1129423",28,"English","Alex Kendrick","Drama, Romance",6.5,11892,1,0,0,4
"2432","Open Water",500000,30500882,2004,8,6,"Open Water",32,72,79,"Blanchard Ryan","Daniel Travis","Saul Stein","tt0374102",63,"English","Chris Kentis","Biography, Drama, Thriller",5.7,35874,0,1,0,4
"2433","Mad Hot Ballroom",500000,8117961,2005,5,13,"Mad Hot Ballroom",84,84,110,"Sid Grant","Tara Devon Gallagher","Yomaira Reynoso","tt0438205",71,"English, Spanish","Marilyn Agrelo","Documentary, Family, Music",7.6,2992,1,0,0,4
"2434","The Station Agent",500000,5801558,2003,10,3,"The Station Agent",90,95,90,"Peter Dinklage","Patricia Clarkson","Bobby Cannavale","tt0340377",81,"English, Spanish","Thomas McCarthy","Comedy, Drama",7.8,44123,0,1,0,4
"2435","To Save a Life",500000,3777210,2010,1,22,"To Save a Life",83,33,120,"Randy Wayne","Deja Kreutzberg","Joshua Weigel","tt1270286",19,"English","Brian Baugh","Drama",7.2,3381,1,0,0,4
"2436","Wordplay",500000,3121270,2006,6,16,"Wordplay",80,95,94,"Will Shortz","Merl Reagle","Jon Stewart","tt0492506",73,"English","Patrick Creadon","Documentary",7.4,3187,1,0,1,4
"2437","Beyond the Mat",500000,2047570,1999,10,22,"Beyond the Mat",83,82,102,"Barry W. Blaustein","Jake ""The Snake"" Roberts","Terry Funk","tt0218043",73,"English","Barry W. Blaustein","Documentary, Biography, Sport",7.6,5849,0,1,0,4
"2438","Osama",500000,1127331,2004,1,30,"Osama",87,96,82,"Marina Golbahari","Khwaja Nader","Mohamad Aref Harat","tt0368913",83,"Dari, Pushto, English","Siddiq Barmak","Drama",7.4,6706,1,0,0,4
"2439","Groove",500000,1115313,2000,6,9,"Groove",81,56,84,"Lola Glaudini","Denny Lee Kirkwood","Mackenzie Firgens","tt0212974",54,"English","Greg Harrison","Drama, Music",6.4,3228,0,1,0,4
"2440","Paranormal Activity",450000,107918810,2009,9,25,"Paranormal Activity 2",49,58,91,"Katie Featherston","Micah Sloat","Brian Boland","tt1536044",53,"English, Spanish","Tod Williams","Horror",5.7,62288,0,1,0,4
"2441","Brick",450000,2075743,2006,3,31,"Brick",86,80,119,"Joseph Gordon-Levitt","Nora Zehetner","Lukas Haas","tt0393109",72,"English","Rian Johnson","Drama, Mystery",7.5,70975,0,1,0,4
"2442","Napoleon Dynamite",400000,44540956,2004,6,11,"Napoleon Dynamite",74,71,86,"Jon Heder","Jon Gries","Aaron Ruell","tt0374900",64,"English","Jared Hess","Comedy",6.9,129496,1,0,1,4
