RT_cast1
Sam_Worthington
Johnny_Depp
Christian_Bale
Taylor_Kitsch
Mandy_Moore
Tobey_Maguire
Ian_McKellen
Daniel_Radcliffe
1165741-Brandon_Routh
Daniel_Craig
Robert_Downey_Jr
Henry_Cavill
Georgie_Henley
Keanu_Reeves
Andrew_Garfield
Will_Smith
Shia_LaBeouf
Hugh_Jackman
Russell_Crowe
Naomi_Watts
Nicole_Kidman
Tom_Hanks
Mia_Wasikowska
James_Franco
Owen_Wilson
Jeff_Bridges
John_Cusack
Ryan_Reynolds
Jake_Gyllenhaal
Nicholas_Hoult
Chris_Pine
Brad_Pitt
Leonardo_DiCaprio
Jim_Carrey
Charlie_Hunnam
Harrison_Ford
Kelly_Macdonald
Ben_Burtt
Jackie_Chan
Ben_Kingsley
Edward_Asner
Reese_Witherspoon
Dennis_Quaid
Brendan_Fraser
Steve_Carell
Kevin_Costner
Chris_Hemsworth
Kristen_Stewart
Arnold_Schwarzenegger
Mike_Myers
Jay_Baruchel
John_C_Reilly
Vin_Diesel
James_McAvoy
Nicolas_Cage
Josh_Lucas
Ben_Barnes
Colin_Farrell
Kristen_Bell
Patton_Oswalt
Ben_Stiller
Jack_Black
Tom_Cruise
Noah_Ringer
Jerry_Seinfeld
John_Travolta
Channing_Tatum
Benicio_Del_Toro
Seth_Green
Brian_Blessed
Alec_Baldwin
Matthew_McConaughey
Pierce_Brosnan
Tommy_Lee_Jones
Chris_Evans
Mel_Gibson
DJ_Cotrona
Malin_Akerman
Edward_Norton
Eric_Bana
Ming-Na_Wen
Elijah_Wood
Jennifer_Lawrence
Matt_Damon
Antonio_Banderas
Will_Ferrell
Martin_Lawrence
Angelina_Jolie
Jamie_Bell
DB_Sweeney
Patrick_Stewart
Matthew_Broderick
Ioan_Gruffudd
Suraj_Sharma
Cameron_Diaz
Michael_J_Fox
Emile_Hirsch
Ewan_McGregor
Hayden_Christensen
Sandra_Bullock
Hank_Azaria
Bruce_Willis
George_Clooney
Seth_Rogen
Liam_Neeson
Denzel_Washington
Roseanne_Barr
Orlando_Bloom
Anika_Noni_Rose
Steven_Strait
Warren_Beatty
Bradley_Cooper
Val_Kilmer
Mark_Wahlberg
Jamie_Foxx
Robert_De_Niro
Bill_Hader
David_Spade
Sylvester_Stallone
Max_Records
Sam_Neill
Casper_Van_Dien
Jason_Isaacs
Halle_Berry
Joseph_Gordon-Levitt
Jamie_Kennedy
Eddie_Murphy
Ray_Romano
Josh_Hartnett
Sarah_Jessica_Parker
Logan_Lerman
Kevin_Kline
Albert_Brooks
Freddie_Highmore
Anne_Hathaway
Jodie_Foster
Haley_Joel_Osment
Kevin_Bacon
Robert_Redford
Robin_Williams
Clive_Owen
Jason_Momoa
Alexei_Makarov
